topic,word,probability
0,time,0.03948942959712804
0,know,0.03510171519744715
0,light,0.02632628639808536
0,universe,0.025927403270841642
0,theory,0.025528520143597924
1,disease,0.052268602540834846
1,patients,0.049364791288566245
1,candida,0.031941923774954625
1,medicine,0.029764065335753175
1,medical,0.029038112522686024
2,time,0.041686517389232965
2,get,0.03906622201048118
2,pain,0.033825631252977606
2,much,0.025011910433539782
2,first,0.023820867079561697
3,health,0.05165289256198347
3,medical,0.03744834710743802
3,cancer,0.03409090909090909
3,research,0.0253099173553719
3,center,0.025051652892561983
4,work,0.03931479921370402
4,much,0.034821679303566416
4,just,0.033136759337264815
4,people,0.031171019376579612
4,moon,0.029766919404661613
5,launch,0.09346073454762616
5,space,0.05762914302776948
5,satellite,0.0480740519558077
5,satellites,0.028963869811884143
5,commercial,0.028366676619886535
6,water,0.05694227769110764
6,system,0.0405616224648986
6,also,0.03471138845553822
6,used,0.0327613104524181
6,use,0.031981279251170044
7,science,0.06514249921703727
7,scientific,0.04572502348888193
7,much,0.02505480739116818
7,research,0.024115252113999373
7,work,0.024115252113999373
8,said,0.03759398496240601
8,time,0.03609022556390978
8,project,0.035338345864661655
8,well,0.03383458646616541
8,new,0.03270676691729323
9,anyone,0.048296394310287795
9,know,0.03738008600727754
9,right,0.0314257360238174
9,pat,0.031094938802514058
9,sure,0.026132980482963943
10,day,0.05894392140810479
10,every,0.03561195251739664
10,get,0.029881293491608677
10,like,0.029471960704052395
10,want,0.028243962341383544
11,space,0.19845857418111754
11,nasa,0.07817230938618222
11,shuttle,0.046242774566473986
11,station,0.03495733553537022
11,flight,0.02835122488301679
12,msg,0.09114486846980363
12,food,0.07817710263060393
12,diet,0.02852908484623935
12,chinese,0.028158577250833643
12,foods,0.027788069655427936
13,orbit,0.059809398619783107
13,earth,0.05849490634242524
13,lunar,0.05849490634242524
13,spacecraft,0.04140650673677292
13,mars,0.037134406835359846
14,people,0.03981337480559875
14,blood,0.03203732503888025
14,evidence,0.031415241057542766
14,symptoms,0.030171073094867808
14,steve,0.029548989113530325
15,just,0.04683876951615396
15,like,0.04189210078837533
15,think,0.033390013912505796
15,see,0.0272066780027825
15,even,0.023496676456948525
16,use,0.03446033810143043
16,keyboard,0.030884265279583874
16,now,0.022756827048114433
16,new,0.021131339401820545
16,also,0.02048114434330299
17,gordon,0.09153318077803203
17,banks,0.08619374523264683
17,soon,0.06254767353165523
17,weight,0.05644546147978642
17,intellect,0.05568268497330282
18,program,0.04693486590038314
18,email,0.040229885057471264
18,information,0.0351213282247765
18,may,0.03033205619412516
18,please,0.02713920817369093
19,available,0.04355400696864112
19,information,0.04285714285714286
19,data,0.036585365853658534
19,system,0.03414634146341464
19,astronomy,0.02926829268292683
